Name,Age,Height,Gender,Category,Country,Continent,Hand,Medals,HRank,Multiple,Career
Lea Palermo,27,173,F,WD,France,Europe,Right,1,27,1,199
Lee Cheuk Yiu,24,178,M,MS,Hong Kong China,Asia,Right,0,16,0,137
Lee Chong Wei,38,172,M,MS,Malaysia,Asia,Right,8,1,0,715
Lee Jhe Huei,27,180,M,MD,Taiwan,Asia,Right,1,7,1,201
Lee Meng Yean,27,165,F,WD,Malaysia,Asia,Right,1,10,1,170
Lee So-hee,26,171,F,WD,Korea,Asia,Right,7,2,1,401
Lee Yang,25,178,M,MD,Taiwan,Asia,Right,1,3,1,258
Lee Yong-dae,32,176,M,MD,Korea,Asia,Right,20,1,1,817
Lee Zii Jia,23,186,M,MS,Malaysia,Asia,Right,1,8,0,166
Leo Rolly Carnando,19,171,M,MD,Indonesia,Asia,Right,5,42,1,171
Li JunHui,25,195,M,MD,China,Asia,Right,11,1,0,279
Li Wen Mei,21,172,F,WD,China,Asia,Right,1,9,0,79
Li YinHui,24,172,F,WD,China,Asia,Right,7,3,1,234
Lianne Tan,30,163,F,WS,Belgium,Europe,Right,0,38,0,230
Liao Min Chun,33,180,M,MD,Taiwan,Asia,Right,0,10,1,266
Liew Daren,33,178,M,MS,Malaysia,Asia,Right,1,10,0,221
Liliyana Natsir,35,168,F,XD,Indonesia,Asia,Right,14,1,0,600
Lin Dan,37,178,M,MS,China,Asia,Left,33,1,0,666
Linda Efler,26,178,F,XD,Germany,Europe,Right,0,12,1,189
Linda Zetchiri,33,167,F,WS,Bulgaria,Europe,Left,0,21,0,387
Line Christophersen,21,176,F,WS,Denmark,Europe,Right,3,27,0,143
Line Hojmark Kjaersfeldt,27,174,F,WS,Denmark,Europe,Right,11,16,0,292
Liu Cheng,29,184,M,MD,China,Asia,Right,9,2,1,263
Liu Xuan Xuan,20,168,F,WD,China,Asia,Right,5,16,1,128
Liu YuChen,25,193,M,MD,China,Asia,Right,11,1,1,326
Loh Kean Yew,23,175,M,MS,Singapore,Asia,Right,0,27,0,134
Lu Ching Yao,27,190,M,MD,Taiwan,Asia,Right,0,10,1,264
Lu Guang Zu,24,NA,M,MS,China,Asia,Right,1,17,0,62
Luis Enrique Penalver,25,178,M,MS,Spain,Europe,Right,1,47,0,236
Mads Conrad-Petersen,33,186,M,MD,Denmark,Europe,Right,10,4,0,315
Maiken Fruergaard,25,169,F,WD,Denmark,Europe,Right,9,14,1,194
Maneepong Jongjit,30,179,M,MD,Thailand,Asia,Right,2,7,1,227
Marcus  Fernaldi Gideon,30,168,M,MD,Indonesia,Asia,Right,4,1,0,373
Marcus Ellis,31,175,M,MD,England,Europe,Right,4,7,1,496
Marie Batomene,26,165,F,WS,France,Europe,Right,0,58,1,221
Mark Caljouw,26,184,M,MS,Netherlands,Europe,Right,0,25,0,241
Mark Lamsfuss,27,186,M,XD,Germany,Europe,Right,0,10,1,312
Marvin Seidel,25,190,M,MD,Germany,Europe,Right,0,12,1,295
Mathias Boe,40,185,M,MD,Denmark,Europe,Left,15,1,0,643
Mathias Christiansen,27,186,M,XD,Denmark,Europe,Right,7,4,1,324
Mayu Matsumoto,25,177,F,WD,Japan,Asia,Right,3,1,1,183
Melati Daeva Oktavianti,26,168,F,XD,Indonesia,Asia,Right,2,4,0,225
Mette Poulsen,27,175,F,WD,Denmark,Europe,Left,5,29,1,221
Mia Blichfeldt,23,172,F,WS,Denmark,Europe,Right,10,11,0,204
Michelle Li,29,172,F,WS,Canada,Pan Am,Right,15,8,0,460
Misaki Matsutomo,29,159,F,WD,Japan,Asia,Right,7,1,1,549
Mohammad Ahsan,33,173,M,MD,Indonesia,Asia,Right,10,1,0,423
Muhammad Rian Aardianto,25,175,M,MD,Indonesia,Asia,Right,3,5,0,201
Muhammad Shohibul Fikri,21,NA,M,MD,Indonesia,Asia,Right,0,41,0,53
Mychelle Crhystine Bandaso,23,165,F,XD,Indonesia,Asia,Left,0,32,1,132
Nami Matsuyama,22,166,F,WD,Japan,Asia,Right,2,9,1,179
Nelakurihi Sikki Reddy,27,168,F,WD,India,Asia,Left,4,17,1,240
Neshilan Yigit,27,180,F,WS,Turkey,Europe,Right,4,28,1,465
